エリア,発電事業者,発電所コード,発電所名,発電形式,ユニット名,認可出力,認可出力（変更後）,適用開始日,稼働開始日,稼働終了日,最終更新日時
"東北","東北電力株式会社","2F105","東北電力能代火力発電所２号機","火力（石炭）","２号機","600000","","","1900/01/01","9999/12/31","2016/04/28 15:41",
"東北","東北電力株式会社","2F109","東北電力能代火力発電所３号機","火力（石炭）","３号機","600000","","","2020/03/02","9999/12/31","2020/03/02 17:03",
"東北","東北電力株式会社","2J102","女川原子力発電所","原子力","女川原子力発電所2号機","825000","","","1900/01/01","9999/12/31","2016/04/28 18:49",
"東北","東北電力株式会社","2J103","女川原子力発電所","原子力","女川原子力発電所3号機","825000","","","1900/01/01","9999/12/31","2016/04/28 20:03",
"東北","日本製紙石巻エネルギーセンター","2J138","石巻雲雀野発電所","火力（石炭）","1号機","149000","","","2018/03/01","9999/12/31","2018/06/01 13:54",
"東北","仙台パワーステーション株式会社","2K210","仙台パワーステーション","火力（石炭）","単独","112000","","","2017/10/01","9999/12/31","2018/03/06 13:18",
"東北","東北電力株式会社","2K218","東北電力仙台火力発電所４号機","火力（ガス）","４号機","468000","","","1900/01/01","9999/12/31","2020/08/18 11:09",
"東北","東北電力株式会社","2K219","東北電力新仙台火力発電所３号系列","火力（ガス）","３－１号機","523000","","","1900/01/01","9999/12/31","2020/08/18 11:18",
"東北","東北電力株式会社","2K219","東北電力新仙台火力発電所３号系列","火力（ガス）","３－２号機","523000","","","1900/01/01","9999/12/31","2020/08/18 11:21",
"東北","仙台港バイオマスパワー合同会社","2K264","仙台港バイオマスパワー発電所","その他","単独","112000","","","2025/11/24","2045/08/31","2026/02/03 12:06",
"東北","エイブルエナジー合同会社","2S319","福島いわきバイオマス発電所","その他","1","112000","","","2022/04/01","9999/12/31","2022/07/07 11:11",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","1号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:53",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","2号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:55",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","3号機","100000","","","1900/01/01","9999/12/31","2016/04/12 10:57",
"東北","電源開発","2T402","電源開発田子倉発電所(東北)","水力","4号機","100000","","","1900/01/01","9999/12/31","2016/04/12 11:23",
"東北","東北電力株式会社","2T406","第二沼沢発電所","水力","１号機","230000","","","1900/01/01","9999/12/31","2016/04/28 16:01",
"東北","東北電力株式会社","2T407","第二沼沢発電所","水力","２号機","230000","","","1900/01/01","9999/12/31","2016/04/28 16:02",
"東北","東北電力株式会社","2U308","東北電力原町火力発電所１号機","火力（石炭）","１号機","1000000","","","1900/01/01","9999/12/31","2016/04/28 15:55",
"東北","東北電力株式会社","2U309","東北電力原町火力発電所２号機","火力（石炭）","２号機","1000000","","","1900/01/01","9999/12/31","2016/04/28 15:57",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－６号機GTB","137000","","","1900/01/01","9999/12/31","2016/04/28 16:14",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－１号機ＳＴ","203000","","","1900/01/01","9999/12/31","2016/04/28 16:06",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－１号機ＧＴＢ","137000","","","1900/01/01","9999/12/31","2016/04/28 16:07",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－２号機ＧＴＢ","137000","","","1900/01/01","9999/12/31","2016/04/28 16:09",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－３号機ＧＴＢ","137000","","","1900/01/01","9999/12/31","2016/04/28 16:10",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－２号機ＳＴ","203000","","","1900/01/01","9999/12/31","2016/04/28 16:11",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－４号機ＧＴＢ","137000","","","1900/01/01","9999/12/31","2016/04/28 16:12",
"東北","東北電力株式会社","2V402","東北電力東新潟火力発電所３号系列","火力（ガス）","３－５号機ＧＴＢ","137000","","","1900/01/01","9999/12/31","2016/04/28 16:13",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－１号機ＳＴ","280300","","","1900/01/01","9999/12/31","2020/11/18 14:31",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－１号機ＧＴＢ","298800","","","1900/01/01","9999/12/31","2020/11/18 14:32",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－２号機ＧＴＢ","298800","","","1900/01/01","9999/12/31","2020/11/18 14:34",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－２号機ＳＴ","295000","","","1900/01/01","9999/12/31","2016/04/28 16:19",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－３号機ＧＴＢ","295000","","","1900/01/01","9999/12/31","2016/04/28 16:20",
"東北","東北電力株式会社","2V403","東北電力東新潟火力発電所４号系列","火力（ガス）","４－４号機ＧＴＢ","295000","","","1900/01/01","9999/12/31","2016/04/28 16:21",
"東北","東北電力株式会社","2W422","東北電力東新潟火力発電所１号機","火力（ガス）","１号機","600000","","","1900/01/01","9999/12/31","2025/09/03 11:35",
"東北","東北電力株式会社","2W423","東北電力東新潟火力発電所２号機","火力（ガス）","２号機","600000","","","1900/01/01","9999/12/31","2025/09/03 11:35",
"東北","電源開発","30201","電源開発下郷発電所","水力","1号機","250000","","","1900/01/01","9999/12/31","2016/04/12 10:39",
"東北","電源開発","30201","電源開発下郷発電所","水力","2号機","250000","","","1900/01/01","9999/12/31","2016/04/12 10:40",
"東北","電源開発","30201","電源開発下郷発電所","水力","3号機","250000","","","1900/01/01","9999/12/31","2019/02/20 13:06",
"東北","電源開発","30201","電源開発下郷発電所","水力","4号機","250000","","","1900/01/01","9999/12/31","2016/04/12 10:43",
"東京","東京電力リニューアブルパワー株式会社","30202","塩原発電所","水力","1号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:49",
"東京","東京電力リニューアブルパワー株式会社","30202","塩原発電所","水力","2号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:49",
"東京","東京電力リニューアブルパワー株式会社","30202","塩原発電所","水力","3号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:48",
"東京","東京電力リニューアブルパワー株式会社","30203","今市発電所","水力","1号機","350000","","","1900/01/01","9999/12/31","2020/04/03 11:48",
"東京","東京電力リニューアブルパワー株式会社","30203","今市発電所","水力","2号機","350000","","","1900/01/01","9999/12/31","2020/04/03 11:48",
"東京","東京電力リニューアブルパワー株式会社","30203","今市発電所","水力","3号機","350000","","","1900/01/01","9999/12/31","2020/04/03 11:47",
"東京","電源開発","30204","電源開発沼原発電所","水力","1号機","225000","","","1900/01/01","9999/12/31","2019/02/20 13:07",
"東京","電源開発","30204","電源開発沼原発電所","水力","2号機","225000","","","1900/01/01","9999/12/31","2016/04/12 10:36",
"東京","電源開発","30204","電源開発沼原発電所","水力","3号機","225000","","","1900/01/01","9999/12/31","2016/04/12 10:37",
"東京","日本原子力発電株式会社","30302","東海第二発電所","原子力","単独","1100000","","","1978/11/28","9999/12/31","2022/12/16 16:46",
"東京","ＪＦＥスチール株式会社","30509","ＪＦＥスチール株式会社川鉄千葉クリーンパワーステーション","火力（ガス）","ＪＦＥ千葉ＩＰＰ","466100","","","1900/01/01","9999/12/31","2018/02/13 09:12",
"東京","ＪＦＥスチール株式会社","30509","ＪＦＥスチール株式会社 東日本製鉄所(千葉地区) コンバインド発電所","火力（ガス）","コンバインド発電所","149000","","","1900/01/01","9999/12/31","2016/06/29 15:27",
"東京","ＪＦＥスチール株式会社","30509","ＪＦＥスチール株式会社 東日本製鉄所(千葉地区) 西発電所","火力（ガス）","西発電所３号機","138000","","","1900/01/01","9999/12/31","2016/05/26 18:05",
"東京","ＪＦＥスチール株式会社","30509","ＪＦＥスチール株式会社 東日本製鉄所(千葉地区) 西発電所","火力（ガス）","西発電所４号機ガスタービン","143680","","","1900/01/01","9999/12/31","2016/05/26 18:11",
"東京","ゼロワットパワー株式会社","30557","ゼロワットパワー株式会社　市原発電所","火力（ガス）","単独","100550","","","2022/07/01","9999/12/31","2023/08/01 17:24",
"東京","ゼロワットパワー株式会社","30558","ゼロワットパワー株式会社　美浜発電所","火力（ガス）","単独","100800","","","2022/07/01","9999/12/31","2022/07/04 13:40",
"東京","株式会社中袖クリーンパワー","30563","中袖クリーンパワー発電所","火力（ガス）","コンバインド","107390","","","2007/10/30","9999/12/31","2019/04/26 10:17",
"東北","電源開発","31003","電源開発奥只見発電所","水力","1号機","120000","","","1900/01/01","9999/12/31","2016/04/12 10:44",
"東北","電源開発","31003","電源開発奥只見発電所","水力","2号機","120000","","","1900/01/01","9999/12/31","2016/04/12 10:49",
"東北","電源開発","31003","電源開発奥只見発電所","水力","3号機","126000","","","1900/01/01","9999/12/31","2025/11/12 10:11",
"東北","電源開発","31003","電源開発奥只見発電所","水力","4号機","200000","","","1900/01/01","9999/12/31","2016/04/12 10:51",
"東京","東京電力リニューアブルパワー株式会社","31007","玉原発電所","水力","1号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:47",
"東京","東京電力リニューアブルパワー株式会社","31007","玉原発電所","水力","2号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:47",
"東京","東京電力リニューアブルパワー株式会社","31007","玉原発電所","水力","3号機","300000","","","1900/01/01","9999/12/31","2020/04/03 11:46",
