Region,State,Sector,Type,Plant / Project name,Unit / Phase name,GEM unit/phase ID,Status,units combined,DGR plant name,DGR unit,Notes
SR,Tamil Nadu,Private,oil/gas,P.Nallur Combined Cycle power plant,1,G100000401484,,,P.NALLUR CCPP,,
SR,Andhra Pradesh,Private,coal,Bander power station,Unit 1,G100000100500,,,PAINAMPURAM TPP,Unit 1,
SR,Andhra Pradesh,Private,coal,Bander power station,Unit 2,G100000100501,,,PAINAMPURAM TPP,Unit 2,
NR,Haryana,State,coal,Panipat power station,Phase II Unit 6,G100000107765,,,PANIPAT TPS,Unit 6,
NR,Haryana,State,coal,Panipat power station,Phase II Unit 7,G100000107766,,,PANIPAT TPS,Unit 7,
NR,Haryana,State,coal,Panipat power station,Phase II Unit 8,G100000107767,,,PANIPAT TPS,Unit 8,
NR,Haryana,State,coal,Panipat power station,Phase II Unit 5,G100000107764,,,PANIPAT TPS,Unit 5,
NR,Uttar Pradesh,State,coal,Panki Thermal Power Station,Unit 5,G100000107775,,,PANKI TPS EXT,Unit 1,
WR,Maharashtra,State,coal,Paras power station,Unit 3,G100000107815,,,PARAS TPS,Unit 3,
WR,Maharashtra,State,coal,Paras power station,Unit 4,G100000107816,,,PARAS TPS,Unit 4,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 3,G100000107826,,,PARICHHA TPS,Unit 3,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 4,G100000107827,,,PARICHHA TPS,Unit 4,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 5,G100000107828,,,PARICHHA TPS,Unit 5,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 6,G100000107829,,,PARICHHA TPS,Unit 6,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 1,G100000107824,,,PARICHHA TPS,Unit 1,
NR,Uttar Pradesh,State,coal,Parichha power station,Unit 2,G100000107825,,,PARICHHA TPS,Unit 2,
WR,Maharashtra,State,coal,Parli Thermal Power Station,Unit 6,G100000107843,,,PARLI TPS,Unit 6,
WR,Maharashtra,State,coal,Parli Thermal Power Station,Unit 7,G100000107844,,,PARLI TPS,Unit 7,
WR,Maharashtra,State,coal,Parli Thermal Power Station,Unit 8,G100000107845,,,PARLI TPS,Unit 8,
WR,Maharashtra,State,coal,Parli Thermal Power Station,Unit 4,G100000107841,,,PARLI TPS,Unit 4,
WR,Maharashtra,State,coal,Parli Thermal Power Station,Unit 5,G100000107842,,,PARLI TPS,Unit 5,
WR,Chhatisgarh,Private,coal,Lanco Amarkantak Thermal Power Project,Unit 3,G100000106147,,,PATHADI STAGE II,Unit 1,
WR,Chhatisgarh,Private,coal,Lanco Amarkantak Thermal Power Project,Unit 1,G100000106145,,,PATHADI TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Lanco Amarkantak Thermal Power Project,Unit 2,G100000106146,,,PATHADI TPP,Unit 2,
ER,Jharkhand,Central,coal,Patratu JSEB power station,Unit 11,G100000107870,,,PATRATU STPP,Unit 1,
ER,Jharkhand,Central,coal,Patratu JSEB power station,Unit 12,G100000107871,,,PATRATU STPP,Unit 2,
ER,Jharkhand,Central,coal,Patratu JSEB power station,Unit 13,G100000107872,,,PATRATU STPP,Unit 3,
SR,Andhra Pradesh,Private,oil/gas,Samalkot Combined Cycle power plant,01-Feb,G100000401472,,COMBINED,PEDDAPURAM CCPP,,
WR,Gujarat,State,oil/gas,Pipavav Combined Cycle power plant,1,G100000401439,,COMBINED,PIPAVAV CCPP,,
NR,Delhi,State,oil/gas,Pragati Combined Cycle Gas Turbine-III power station,1,G100000401429,,COMBINED,PRAGATI CCGT-III,,
NR,Delhi,State,oil/gas,Pragati Combined Cycle power plant,1,G100000401428,,,PRAGATI CCPP,,
NR,Uttar Pradesh,Private,coal,Bara Thermal Power Project,Phase I Unit 1,G100000100585,,,PRAYAGRAJ TPP,Unit 1,
NR,Uttar Pradesh,Private,coal,Bara Thermal Power Project,Phase I Unit 2,G100000100586,,,PRAYAGRAJ TPP,Unit 2,
NR,Uttar Pradesh,Private,coal,Bara Thermal Power Project,Phase I Unit 3,G100000100587,,,PRAYAGRAJ TPP,Unit 3,
SR,Kerala,Central,oil/gas,Kayamkulam Gas power plant,1,G100000409915,,,R. GANDHI CCPP (Liq.),,
ER,West Bengal,Central,coal,Raghunathpur Thermal Power Station,Unit 1,G100000108415,,,RAGHUNATHPUR TPP,Unit 1,
ER,West Bengal,Central,coal,Raghunathpur Thermal Power Station,Unit 2,G100000108416,,,RAGHUNATHPUR TPP,Unit 2,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 1,G100000108424,,,RAICHUR TPS,Unit 1,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 2,G100000108426,,,RAICHUR TPS,Unit 2,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 3,G100000108427,,,RAICHUR TPS,Unit 3,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 4,G100000108428,,,RAICHUR TPS,Unit 4,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 5,G100000108429,,,RAICHUR TPS,Unit 5,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 6,G100000108430,,,RAICHUR TPS,Unit 6,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 7,G100000108431,,,RAICHUR TPS,Unit 7,
SR,Karnataka,State,coal,Raichur Thermal Power Station,Unit 8,G100000108432,,,RAICHUR TPS,Unit 8,
WR,Chhatisgarh,Private,coal,Raikheda power station,Unit 1,G100000108445,,,RAIKHEDA TPP,Unit 1,
WR,Chhatisgarh,Private,coal,Raikheda power station,Unit 2,G100000108446,,,RAIKHEDA TPP,Unit 2,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,2,G100000500550,,,RAJASTHAN  A.P.S.,Unit 2,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,3,G100000500530,,,RAJASTHAN  A.P.S.,Unit 3,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,4,G100000500531,,,RAJASTHAN  A.P.S.,Unit 4,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,5,G100000500532,,,RAJASTHAN  A.P.S.,Unit 5,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,6,G100000500533,,,RAJASTHAN  A.P.S.,Unit 6,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,7,G100000500378,,,RAJASTHAN  A.P.S.,Unit 7,
NR,Rajasthan,Central,nuclear,Rajasthan nuclear power plant,8,G100000500379,,,RAJASTHAN  A.P.S.,Unit 8,
NR,Delhi,State,coal,Rajghat power station,Unit 1,G100000108453,,,RAJGHAT TPS,Unit 1,
NR,Delhi,State,coal,Rajghat power station,Unit 2,G100000108454,,,RAJGHAT TPS,Unit 2,
NR,Haryana,State,coal,Rajiv Gandhi Thermal Power Project,Unit I,G100000108455,,,RAJIV GANDHI TPS,Unit 1,
NR,Haryana,State,coal,Rajiv Gandhi Thermal Power Project,Unit II,G100000108456,,,RAJIV GANDHI TPS,Unit 2,
NR,Punjab,Private,coal,Rajpura Thermal Power Project,Unit 1,G100000108460,,,RAJPURA TPP,Unit 1,
NR,Punjab,Private,coal,Rajpura Thermal Power Project,Unit 2,G100000108461,,,RAJPURA TPP,Unit 2,
SR,Telangana,Central,coal,Ramagundam power station,Stage I Unit 1,G100000108463,,,RAMAGUNDEM STPS,Unit 1,
SR,Telangana,Central,coal,Ramagundam power station,Stage I Unit 2,G100000108464,,,RAMAGUNDEM STPS,Unit 2,
SR,Telangana,Central,coal,Ramagundam power station,Stage I Unit 3,G100000108465,,,RAMAGUNDEM STPS,Unit 3,
SR,Telangana,Central,coal,Ramagundam power station,Stage II Unit 4,G100000108466,,,RAMAGUNDEM STPS,Unit 4,
SR,Telangana,Central,coal,Ramagundam power station,Stage II Unit 5,G100000108467,,,RAMAGUNDEM STPS,Unit 5,
SR,Telangana,Central,coal,Ramagundam power station,Stage II Unit 6,G100000108468,,,RAMAGUNDEM STPS,Unit 6,
SR,Telangana,Central,coal,Ramagundam power station,Stage III Unit 7,G100000108469,,,RAMAGUNDEM STPS,Unit 7,
SR,Telangana,State,coal,Ramagundam-B power station,Unit 1,G100000108472,,,RAMAGUNDEM-B TPS,Unit 1,
SR,Telangana,State,coal,Ramagundam-B power station,Unit 1,G100000108472,,,RAMAGUNDEM - B TPS,Unit 1,
NR,Rajasthan,State,oil/gas,Ramgarh Combined Cycle power plant,1,G100000401432,,,RAMGARH CCPP,,
WR,Chhatisgarh,Private,coal,Ratija Power Project,Phase I,G100000108483,,,RATIJA TPS,Unit 1,
WR,Chhatisgarh,Private,coal,Ratija Power Project,Phase II,G100000108484,,,RATIJA TPS,Unit 2,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 1,G100000108494,,,RAYALASEEMA TPS,Unit 1,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 2,G100000108495,,,RAYALASEEMA TPS,Unit 2,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 3,G100000108496,,,RAYALASEEMA TPS,Unit 3,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 4,G100000108497,,,RAYALASEEMA TPS,Unit 4,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 5,G100000108498,,,RAYALASEEMA TPS,Unit 5,
SR,Andhra Pradesh,State,coal,Rayalaseema Thermal Power Project,Unit 6,G100000108499,,,RAYALASEEMA TPS,Unit 6,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 1,G100000108573,,,RIHAND STPS,Unit 1,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 2,G100000108574,,,RIHAND STPS,Unit 2,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 3,G100000108575,,,RIHAND STPS,Unit 3,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 4,G100000108576,,,RIHAND STPS,Unit 4,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 5,G100000108577,,,RIHAND STPS,Unit 5,
NR,Uttar Pradesh,Central,coal,Rihand power station,Unit 6,G100000108578,,,RIHAND STPS,Unit 6,
NR,Delhi,Private,oil/gas,Rithala Gas power plant,1,G100000409905,,,RITHALA CCPP,,
NR,Punjab,State,coal,Ropar power station,Unit 3,G100000108629,,,ROPAR TPS,Unit 3,
NR,Punjab,State,coal,Ropar power station,Unit 4,G100000108630,,,ROPAR TPS,Unit 4,
NR,Punjab,State,coal,Ropar power station,Unit 5,G100000108631,,,ROPAR TPS,Unit 5,
NR,Punjab,State,coal,Ropar power station,Unit 6,G100000108632,,,ROPAR TPS,Unit 6,
