source_system,plant_code,plant_name,source_country,coal_relevant,has_coordinates,decided_by,pipeline_note,candidate_1_id,candidate_1_name,candidate_1_score,candidate_2_id,candidate_2_name,candidate_2_score,candidate_3_id,candidate_3_name,candidate_3_score,gem_location_id,not_in_gem,decision_note
ENTSOE,,EDET_G4____,Czech Republic,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Detmarovice power station'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,ELED_G6___,Czech Republic,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Ledvice power station'; no GEM link — review,,,,,,,,,,,f,
ENTSOE,,GUARDO 2,Spain,t,t,,,,,,,,,,,,,f,
ENTSOE,,HAVRE 4,France,t,t,,,L100000101863,Le Havre power station,66.7,,,,,,,,f,
ENTSOE,,HKW Altbach/Deizisau 2,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Heizkraftwerk Altbach/Deizisau (Natural Gas)'; no GEM link — review,L100000101873,Altbach power station,66.7,,,,,,,,f,
ENTSOE,,HKW Heilbronn Block 7,Germany,t,t,,,L100000101875,Heilbronn power station,60,L100000101968,Gersteinwerk power station,55.8,,,,,f,
ENTSOE,,HKW Moorburg Block A,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Hamburg-Moorburg'; no GEM link — review,L100000101899,Hamburg-Moorburg power station,61.1,,,,,,,,f,
ENTSOE,,HKW Moorburg Block B,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Hamburg-Moorburg'; no GEM link — review,L100000101899,Hamburg-Moorburg power station,55.6,,,,,,,,f,
ENTSOE,,HKW Reuter Block C,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Berlin-Reuter power station'; no GEM link — review,L100000101888,Berlin-Reuter power station,58.1,L100000101968,Gersteinwerk power station,55,,,,,f,
ENTSOE,,HKW Reuter West Block D,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Berlin-Reuter-West power station'; no GEM link — review,L100000101889,Berlin-Reuter-West power station,68.3,,,,,,,,f,
ENTSOE,,HKW Reuter West Block E,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Berlin-Reuter-West power station'; no GEM link — review,L100000101889,Berlin-Reuter-West power station,68.3,L100000101968,Gersteinwerk power station,57.8,,,,,f,
ENTSOE,,HKW Tiefstack Block 2,Germany,t,t,,,L100000101900,Tiefstack power station,60,,,,,,,,f,
ENTSOE,,HKW Wedel Block 1,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Wedel'; no GEM link — review,L100000101968,Gersteinwerk power station,56.4,,,,,,,,f,
ENTSOE,,HKW Wedel Block 2,Germany,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Wedel'; no GEM link — review,L100000101968,Gersteinwerk power station,56.4,,,,,,,,f,
ENTSOE,,HKW West Block 1,Germany,t,t,,,,,,,,,,,,,f,
ENTSOE,,HKW West Block 2,Germany,t,t,,,,,,,,,,,,,f,
ENTSOE,,Jaworzno 2  B7,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno II'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 2 B7,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno II'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 2 JWCD B7,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno II'; no GEM link — review,L100000103261,Jaworzno power station,61.5,,,,,,,,f,
ENTSOE,,Jaworzno 3 B1,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 3 B2,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 3 B3,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 3 B4,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 3 B5,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,Jaworzno 3 B6,Poland,t,t,legacy-pipeline,grandfathered llm match to GPPD 'Jaworzno III'; no GEM link — review,L100000103261,Jaworzno power station,76.2,,,,,,,,f,
ENTSOE,,KW Boxberg Block N,Germany,t,t,,,L100000101968,Gersteinwerk power station,60,L100000101978,Boxberg power station,56,,,,,f,
ENTSOE,,KW Boxberg Block P,Germany,t,t,,,L100000101978,Boxberg power station,56,L100000101968,Gersteinwerk power station,55,,,,,f,
ENTSOE,,KW Boxberg Block Q,Germany,t,t,,,L100000101978,Boxberg power station,56,L100000101968,Gersteinwerk power station,55,,,,,f,
ENTSOE,,KW Boxberg Block R,Germany,t,t,,,L100000101968,Gersteinwerk power station,60,L100000101978,Boxberg power station,56,,,,,f,
ENTSOE,,KW Hafen Block 6,Germany,t,t,,,L100000101968,Gersteinwerk power station,57.9,,,,,,,,f,
ENTSOE,,KW Hastedt Block 15,Germany,t,t,,,L100000101968,Gersteinwerk power station,58.5,,,,,,,,f,
ENTSOE,,KW Jänschwalde Block A,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100000101874,GKM (Mannheim) power station,55.3,L100001023473,BHKW Schwarzer Weg power station,55,,f,
ENTSOE,,KW Jänschwalde Block B,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100000101874,GKM (Mannheim) power station,55.3,L100001023473,BHKW Schwarzer Weg power station,55,,f,
ENTSOE,,KW Jänschwalde Block C,Germany,t,t,,,L100000101894,Janschwalde power station,66.7,L100001023473,BHKW Schwarzer Weg power station,55,,,,,f,
