country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100000102145,Godhna power station,,,Chhattisgarh,21.826445,82.604828,,,0,0,3,https://www.gem.wiki/Godhna_power_station
India,L100000102511,Goindwal Sahib Thermal Power Plant,,,Punjab,31.38414,75.146503,540,,2,0,2,https://www.gem.wiki/Goindwal_Sahib_Thermal_Power_Plant
India,L100000102263,Gola power station,,,Jharkhand,23.48362,85.657485,63,,1,0,1,https://www.gem.wiki/Gola_power_station
India,L100000102629,Gonda power station,,,Uttar Pradesh,27.03,82.23,,,0,0,2,https://www.gem.wiki/Gonda_power_station
India,L100000102041,Gopuvanipalam Mega Thermal Power Project,,,Andhra Pradesh,16.18438,81.134933,,,0,0,1,https://www.gem.wiki/Gopuvanipalam_Mega_Thermal_Power_Project
India,L100000102336,Gorgi power station,,,Madhya Pradesh,24.116667,81.933333,,,0,0,2,https://www.gem.wiki/Gorgi_power_station
India,L100000102146,Gorra Thermal Power Plant,,,Chhattisgarh,21.89304,83.393583,,,0,0,1,https://www.gem.wiki/Gorra_Thermal_Power_Plant
India,L100000102298,Gowdasandra power station,,,Karnataka,13.43,77.72,,,0,0,2,https://www.gem.wiki/Gowdasandra_power_station
India,L100000102042,Gudur Thermal Power Project (Momidi),,,Andhra Pradesh,14.130902,79.864683,,,0,0,1,https://www.gem.wiki/Gudur_Thermal_Power_Project_(Momidi)
India,L100000102209,Gujarat Power Project,,,Gujarat,21.573757,73.168617,,,0,0,1,https://www.gem.wiki/Gujarat_Power_Project
India,L100000102299,Gulbarga power station,,,Karnataka,17.0854,76.79,,,0,0,2,https://www.gem.wiki/Gulbarga_power_station
India,L100000102547,Gummidipoondi Accord power station,,,Tamil Nadu,13.420278,80.073333,,,0,0,2,https://www.gem.wiki/Gummidipoondi_Accord_power_station
India,L100000102548,Gummidipoondi Kamachi power station,,,Tamil Nadu,13.424018,80.087457,70,,2,0,0,https://www.gem.wiki/Gummidipoondi_Kamachi_power_station
India,L100000102549,Gummidipoondi Suryadev power station,,,Tamil Nadu,13.384779,80.107416,160,,2,0,0,https://www.gem.wiki/Gummidipoondi_Suryadev_power_station
India,L100000102043,Gunipudi power station (NBPL proposal),,,Andhra Pradesh,17.300117,82.614386,,,0,0,1,https://www.gem.wiki/Gunipudi_power_station_(NBPL_proposal)
India,L100000102044,Gunipudi power station (STEAPL proposal),,,Andhra Pradesh,17.300117,82.624386,,,0,0,2,https://www.gem.wiki/Gunipudi_power_station_(STEAPL_proposal)
India,L100001020387,Gurha Thermal Power Station,,,Rajasthan,27.443704,72.45679,,,0,0,1,https://www.gem.wiki/Gurha_Thermal_Power_Station
India,L100000102512,Guru Hargobind Lehra Mohabbat Power Station,,Guru Hargobind power station,Punjab,30.266555,75.166097,920,,4,0,1,https://www.gem.wiki/Guru_Hargobind_Lehra_Mohabbat_Power_Station
India,L100000102599,HWP Manuguru power station,,"HWP(M) power station, Heavy Water Plant power station",Telangana,17.87832,80.848644,90,,3,0,0,https://www.gem.wiki/HWP_Manuguru_power_station
India,L100000102674,Haldia Energy power station,,,West Bengal,22.060459,88.109748,600,,2,0,1,https://www.gem.wiki/Haldia_Energy_power_station
India,L100000102147,Hamirpur power station,,,Chhattisgarh,22.393333,83.521944,,,0,0,2,https://www.gem.wiki/Hamirpur_power_station
India,L100000102300,Hanakon Thermal Power Project,,,Karnataka,14.917915,74.174538,,,0,0,1,https://www.gem.wiki/Hanakon_Thermal_Power_Project
India,L100000102630,Harduaganj power station,,,Uttar Pradesh,28.0175,78.13,1270,230,4,4,0,https://www.gem.wiki/Harduaganj_power_station
India,L100000102404,Hari Hareshwar power station (Veshvi and Bankot),,,Maharashtra,17.979579,73.051596,,,0,0,2,https://www.gem.wiki/Hari_Hareshwar_power_station_(Veshvi_and_Bankot)
India,L100000102148,Hasdeo Thermal Power Station,,"Rajiv Gandhi power station (Stage II Unit 4, Stage III Unit 5), Korba West Hasdeo power station, HTPS",Chhattisgarh,22.412536,82.682187,1340,,5,0,2,https://www.gem.wiki/Hasdeo_Thermal_Power_Station
India,L100000102301,Hassan power station,,,Karnataka,12.9833,76.133,,,0,0,2,https://www.gem.wiki/Hassan_power_station
India,L100000102149,Hathneora Captive Power Plant,,,Chhattisgarh,22.003538,82.6689,162.5,,1,0,4,https://www.gem.wiki/Hathneora_Captive_Power_Plant
India,L100000102210,Hazira power station (Essar),,,Gujarat,21.119078,72.640545,270,,2,0,0,https://www.gem.wiki/Hazira_power_station_(Essar)
India,L100000104861,Hazira power station (Reliance),,,Gujarat,21.1592,72.687127,360,,4,0,0,https://www.gem.wiki/Hazira_power_station_(Reliance)
India,L100000102465,Hemgir power station,,,Odisha,22.116,84.016,,,0,0,2,https://www.gem.wiki/Hemgir_power_station
